Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,tag
Jeremy McGrath Supercross 2000,N64,1999,Racing,Acclaim Entertainment,0.23,0.06,0.0,0.0,0.29,,,,,,,Video Games
Supercross 2000,N64,1999,Racing,Electronic Arts,0.23,0.06,0.0,0.0,0.29,,,,,,,Video Games
War Gods,N64,1997,Fighting,Midway Games,0.23,0.06,0.0,0.0,0.29,,,,,,,Video Games
Viz,N64,1998,Racing,Acclaim Entertainment,0.23,0.06,0.0,0.0,0.29,,,,,,,Video Games
Top Gear Overdrive,N64,1998,Racing,Kemco,0.23,0.06,0.0,0.0,0.29,,,,,,,Video Games
Ken Griffey Jr.'s Slugfest,N64,1999,Sports,Nintendo,0.23,0.06,0.0,0.0,0.29,,,,,,,Video Games
The New Tetris,N64,1999,Puzzle,Nintendo,0.22,0.05,0.02,0.0,0.29,,,,,,,Video Games
Xena: Warrior Princess - The Talisman of Fate,N64,1999,Fighting,Titus,0.23,0.06,0.0,0.0,0.29,,,,,,,Video Games
The Godfather: Dons Edition,PS3,2007,Action,Electronic Arts,0.25,0.02,0.0,0.03,0.29,,,,,,,Video Games
Duel Masters: Sempai Legends,GBA,2003,Misc,Atari,0.21,0.08,0.0,0.01,0.29,69.0,19.0,8.0,5.0,Mistic Software,E,Video Games
Marvel Super Hero Squad,PS2,2009,Fighting,THQ,0.14,0.11,0.0,0.04,0.29,,,,,THQ,E10+,Video Games
John Deere: Harvest in the Heartland,DS,2007,Simulation,Ubisoft,0.23,0.03,0.0,0.02,0.29,43.0,7.0,,,Black Lantern Studios,E,Video Games
Harvest Moon: Magical Melody,Wii,2008,Simulation,Rising Star Games,0.23,0.03,0.0,0.02,0.29,69.0,14.0,8.8,17.0,Marvelous Entertainment,E,Video Games
Resident Evil: Revelations 2,PS3,2015,Action,Capcom,0.06,0.05,0.16,0.02,0.29,,,6.8,48.0,Capcom,M,Video Games
Heroes of the Pacific,PS2,2005,Simulation,Codemasters,0.14,0.11,0.0,0.04,0.29,76.0,31.0,8.4,15.0,IR Gurus,T,Video Games
Prince of Persia: Rival Swords,Wii,2007,Action,Ubisoft,0.24,0.02,0.0,0.02,0.29,70.0,30.0,7.7,21.0,Ubisoft Montreal,T,Video Games
The Lord of the Rings: The Third Age,GC,2004,Role-Playing,Electronic Arts,0.22,0.06,0.0,0.01,0.29,74.0,25.0,7.8,19.0,EA Games,T,Video Games
Trace Memory,DS,2005,Adventure,Nintendo,0.15,0.01,0.12,0.01,0.29,70.0,51.0,8.1,42.0,Cing,T,Video Games
X-Men Legends II: Rise of Apocalypse,PSP,2005,Role-Playing,Activision,0.25,0.01,0.0,0.02,0.29,84.0,30.0,8.2,43.0,Vicarious Visions,T,Video Games
Just Dance Wii 2,Wii,2012,Misc,Nintendo,0.0,0.0,0.29,0.0,0.29,,,,,,,Video Games
Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei,PSV,2013,Fighting,Marvelous Entertainment,0.08,0.02,0.16,0.03,0.29,,,,,,,Video Games
Borderlands: The Pre-Sequel,PC,2014,Shooter,Take-Two Interactive,0.11,0.15,0.0,0.02,0.29,75.0,55.0,6.2,703.0,2K Australia,M,Video Games
Madden NFL 08,XB,2007,Sports,Electronic Arts,0.22,0.06,0.0,0.01,0.29,76.0,6.0,6.0,4.0,EA Tiburon,E,Video Games
DX Game of Life,PS,1996,Misc,Takara,0.0,0.0,0.27,0.02,0.29,,,,,,,Video Games
Trauma Center: New Blood,Wii,2007,Simulation,Nintendo,0.22,0.04,0.01,0.02,0.29,77.0,43.0,8.0,20.0,Atlus,T,Video Games
Starhawk,PS3,2012,Action,Sony Computer Entertainment,0.18,0.05,0.03,0.03,0.29,77.0,71.0,7.8,188.0,LightBox Interactive,T,Video Games
Pirates of the Caribbean,XB,2003,Role-Playing,Ubisoft,0.22,0.06,0.0,0.01,0.29,65.0,30.0,7.4,27.0,Akella,T,Video Games
FIFA Soccer 13,3DS,2012,Action,Electronic Arts,0.06,0.2,0.0,0.03,0.29,68.0,4.0,3.7,16.0,Electronic Arts,E,Video Games
Ace Combat: Joint Assault,PSP,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,71.0,30.0,7.2,12.0,Project Aces,T,Video Games
The Punisher,XB,2005,Action,THQ,0.22,0.06,0.0,0.01,0.29,,,,,,,Video Games
MLB Pennant Race,PS,1996,Sports,Sony Computer Entertainment,0.16,0.11,0.0,0.02,0.29,,,,,,,Video Games
The BIGS 2,Wii,2009,Sports,Take-Two Interactive,0.26,0.01,0.0,0.02,0.29,68.0,5.0,8.5,6.0,Blue Castle Games,E10+,Video Games
Shrek: Forever After,Wii,2010,Platform,Activision,0.18,0.09,0.0,0.03,0.29,,,,,Xpec,E10+,Video Games
Turning Point: Fall of Liberty,X360,2008,Shooter,Codemasters,0.23,0.04,0.0,0.02,0.29,43.0,44.0,6.8,87.0,Spark Unlimited,T,Video Games
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991,Role-Playing,Angel Studios,0.0,0.0,0.29,0.0,0.29,,,,,,,Video Games
Karaoke Revolution Glee: Volume 3,Wii,2011,Misc,Konami Digital Entertainment,0.23,0.04,0.0,0.02,0.29,,,,,Hijinx Studios,T,Video Games
Sonic Boom: Shattered Crystal,3DS,2014,Action,Sega,0.17,0.09,0.0,0.03,0.29,47.0,21.0,6.3,160.0,Sanzaru Games,E,Video Games
Shrek Super Party,PS2,2002,Misc,TDK Mediactive,0.14,0.11,0.0,0.04,0.29,30.0,4.0,5.1,17.0,Mass Media,E,Video Games
MLB Power Pros,Wii,2007,Sports,Konami Digital Entertainment,0.23,0.0,0.04,0.02,0.29,83.0,12.0,8.4,45.0,Konami,E,Video Games
Mah Jong Quest: Expeditions,DS,2007,Puzzle,Avanquest,0.02,0.25,0.0,0.01,0.29,,,,,Game Brains,E,Video Games
"Sakura Wars 4: Koi Seyo,Otome",DC,2002,Adventure,Sega,0.0,0.0,0.29,0.0,0.29,,,,,,,Video Games
"Sakura Wars: So Long, My Love",PS2,2005,Role-Playing,Sega,0.07,0.05,0.15,0.02,0.29,81.0,15.0,7.3,26.0,RED Entertainment,T,Video Games
Dynasty Tactics,PS2,2002,Strategy,Tecmo Koei,0.06,0.05,0.16,0.02,0.29,79.0,14.0,8.1,31.0,Koei,T,Video Games
Call of Juarez: The Cartel,PS3,2011,Shooter,Ubisoft,0.12,0.12,0.0,0.05,0.29,45.0,42.0,5.5,74.0,Techland,M,Video Games
Snowboarding,PS,2000,Sports,Midas Interactive Entertainment,0.16,0.11,0.0,0.02,0.29,,,,,,,Video Games
Sesame Street: Cookie's Counting Carnival,Wii,2010,Misc,Warner Bros. Interactive Entertainment,0.27,0.0,0.0,0.02,0.29,,,,,Black Lantern Studios,EC,Video Games
Angry Birds Star Wars,PS3,2013,Strategy,Activision,0.1,0.14,0.0,0.05,0.29,49.0,6.0,3.6,23.0,Exient Entertainment,E,Video Games
Metal Gear Solid V: Ground Zeroes,XOne,2014,Action,Konami Digital Entertainment,0.15,0.11,0.0,0.02,0.29,76.0,13.0,5.4,348.0,Kojima Productions,M,Video Games
SimCity 4,PC,2003,Simulation,Electronic Arts,0.01,0.24,0.0,0.03,0.29,84.0,36.0,8.7,268.0,Maxis,E,Video Games
James Bond 007: Legends,X360,2012,Shooter,Activision,0.13,0.13,0.0,0.03,0.29,,,,,,,Video Games
Puzzle Quest: Challenge of the Warlords,Wii,2007,Puzzle,D3Publisher,0.26,0.0,0.0,0.02,0.29,71.0,17.0,6.2,5.0,Vicious Cycle,E10+,Video Games
Dragon Ball Heroes: Ultimate Mission,3DS,2013,Misc,Namco Bandai Games,0.0,0.0,0.29,0.0,0.29,,,,,,,Video Games
One Piece Unlimited Cruise 2: Awakening of a Hero,Wii,2009,Action,Namco Bandai Games,0.0,0.1,0.17,0.02,0.29,,,,,,,Video Games
Surf's Up,PS2,2007,Sports,Ubisoft,0.14,0.11,0.0,0.04,0.29,60.0,4.0,,,Ubisoft Montreal,E10+,Video Games
Looney Tunes Racing,PS,2000,Racing,Infogrames,0.16,0.11,0.0,0.02,0.29,71.0,11.0,,,Circus Freak,E,Video Games
Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,Nippon Ichi Software,0.11,0.08,0.06,0.04,0.29,80.0,43.0,8.1,173.0,Nippon Ichi Software,T,Video Games
Final Fantasy X-2: International + Last Mission,PS2,2004,Role-Playing,Square Enix,0.0,0.0,0.29,0.0,0.29,,,,,,,Video Games
Namco Museum Vol.2,PS,1996,Misc,Sony Computer Entertainment,0.03,0.02,0.21,0.02,0.29,,,,,,,Video Games
Sengoku Basara: Samurai Heroes,Wii,2010,Action,Capcom,0.06,0.01,0.2,0.01,0.29,65.0,18.0,8.8,13.0,Capcom,T,Video Games
Rayman 3: Hoodlum Havoc,PS2,2003,Platform,Ubisoft,0.14,0.11,0.0,0.04,0.29,76.0,21.0,8.6,38.0,Ubisoft,E,Video Games
Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles,DS,2008,Adventure,Konami Digital Entertainment,0.0,0.0,0.29,0.0,0.29,,,,,,,Video Games
Warriors Orochi 2,PSP,2008,Action,Tecmo Koei,0.06,0.0,0.22,0.01,0.29,56.0,14.0,7.5,4.0,Omega Force,T,Video Games
Feel the Magic XY/XX,DS,2004,Puzzle,Sega,0.17,0.0,0.1,0.02,0.29,75.0,55.0,8.1,18.0,Sonic Team,T,Video Games
Psi-Ops: The Mindgate Conspiracy,PS2,2004,Shooter,Midway Games,0.14,0.11,0.0,0.04,0.29,84.0,46.0,8.9,27.0,Midway,M,Video Games
Tomba! 2: The Evil Swine Return,PS,1999,Platform,Sony Computer Entertainment,0.16,0.11,0.0,0.02,0.29,,,,,,,Video Games
Dragon Quest: Shounen Yangus to Fushigi no Dungeon,PS2,2006,Role-Playing,Square Enix,0.0,0.0,0.29,0.0,0.29,,,,,,,Video Games
Neopets Puzzle Adventure,DS,2008,Puzzle,Capcom,0.26,0.0,0.0,0.02,0.29,70.0,12.0,,,Infinite Interactive,E,Video Games
BeatMania Append 4thMix: The beat goes on,PS,1999,Simulation,Konami Digital Entertainment,0.0,0.0,0.27,0.02,0.29,,,,,,,Video Games
Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992,Strategy,Tecmo Koei,0.0,0.0,0.29,0.0,0.29,,,,,,,Video Games
Power Pro Kun Pocket 11,DS,2008,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.0,0.29,,,,,,,Video Games
Sonic & All-Stars Racing Transformed,3DS,2012,Racing,Sega,0.12,0.14,0.0,0.02,0.29,,,,,,,Video Games
Dead Rising: Chop Till You Drop,Wii,2009,Action,Capcom,0.15,0.07,0.05,0.02,0.29,61.0,30.0,6.5,35.0,TOSE,M,Video Games
Purr Pals,Wii,2008,Simulation,Deep Silver,0.26,0.0,0.0,0.02,0.29,,,,,Crave,E,Video Games
Spyro: A Hero's Tail,GC,2004,Platform,Vivendi Games,0.22,0.06,0.0,0.01,0.29,62.0,13.0,8.3,10.0,Eurocom Entertainment Software,E,Video Games
NASCAR 08,X360,2007,Racing,Electronic Arts,0.26,0.0,0.0,0.02,0.29,59.0,29.0,5.2,30.0,EA Tiburon,E,Video Games
Battle & Get! Pokemon Typing DS,DS,2011,Misc,Nintendo,0.0,0.0,0.29,0.0,0.29,,,,,,,Video Games
World of Tanks,PC,2011,Shooter,Wargaming.net,0.0,0.23,0.0,0.05,0.29,80.0,38.0,3.7,1466.0,Wargaming.net,T,Video Games
Links 2004,XB,2003,Sports,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.29,80.0,41.0,9.0,9.0,Indie Built,E,Video Games
PGA Tour 97,PS,1996,Sports,Electronic Arts,0.16,0.11,0.0,0.02,0.29,,,,,,,Video Games
Majin and the Forsaken Kingdom,PS3,2010,Adventure,Namco Bandai Games,0.09,0.13,0.01,0.05,0.29,72.0,49.0,7.9,35.0,Game Republic,T,Video Games
Assassin's Creed IV: Black Flag,WiiU,2013,Action,Ubisoft,0.17,0.09,0.0,0.03,0.29,86.0,5.0,7.7,207.0,Ubisoft,M,Video Games
Earthworm Jim,GBA,2001,Platform,Interplay,0.2,0.08,0.0,0.01,0.29,72.0,10.0,5.7,6.0,Game Titan,E,Video Games
Tales of Phantasia,GBA,2003,Role-Playing,Nintendo,0.08,0.03,0.17,0.01,0.29,76.0,29.0,8.1,24.0,Namco,E10+,Video Games
Bratz: Super Babyz,DS,2008,Action,THQ,0.26,0.0,0.0,0.02,0.28,50.0,4.0,,,Creat Studios,E,Video Games
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016,Action,Square Enix,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
Monster 4x4: Masters of Metal,PS2,2003,Racing,Ubisoft,0.14,0.11,0.0,0.04,0.28,48.0,9.0,8.3,13.0,Ubisoft,E,Video Games
SingStar Country,PS2,2008,Misc,Sony Computer Entertainment,0.14,0.11,0.0,0.04,0.28,75.0,13.0,,,SCEE London Studio,T,Video Games
VMX Racing,PS,1997,Racing,Playmates,0.16,0.11,0.0,0.02,0.28,,,,,,,Video Games
Hot Shots Golf: World Invitational,PS3,2012,Sports,Sony Computer Entertainment,0.0,0.0,0.28,0.0,0.28,,,7.9,9.0,Clap Hanz,E,Video Games
Harvest Moon DS Cute (US sales),DS,2005,Simulation,Marvelous Interactive,0.28,0.0,0.0,0.0,0.28,,,,,,,Video Games
Disney's Extreme Skate Adventure,GBA,2003,Sports,Activision,0.2,0.08,0.0,0.01,0.28,70.0,6.0,,,Vicarious Visions,E,Video Games
Dragon Ball GT: Transformation,GBA,2005,Action,Atari,0.2,0.08,0.0,0.01,0.28,69.0,12.0,8.2,26.0,Webfoot Technologies,E10+,Video Games
Super Fire ProWrestling X,SNES,1995,Fighting,Human Entertainment,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
Battlefield: Hardline,X360,2015,Shooter,Electronic Arts,0.17,0.09,0.0,0.03,0.28,,,4.1,65.0,Visceral Games,M,Video Games
International Superstar Soccer,SNES,1994,Sports,Konami Digital Entertainment,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
Tigger's Honey Hunt,PS,2000,Platform,Ubisoft,0.16,0.11,0.0,0.02,0.28,,,,,,,Video Games
FIFA 15,PC,2014,Sports,Electronic Arts,0.0,0.27,0.0,0.02,0.28,82.0,9.0,4.2,383.0,EA Sports,E,Video Games
The Warriors,XB,2005,Action,Take-Two Interactive,0.21,0.06,0.0,0.01,0.28,85.0,55.0,8.2,21.0,Rockstar Toronto,M,Video Games
Shadow Hearts,PS2,2001,Role-Playing,Midway Games,0.09,0.07,0.1,0.02,0.28,73.0,24.0,8.8,55.0,Sacnoth,M,Video Games
Dragon Ball Z: Budokai Tenkaichi 2,Wii,2006,Fighting,Atari,0.24,0.03,0.0,0.02,0.28,72.0,37.0,8.5,40.0,Spike,T,Video Games
Street Hoops,XB,2002,Sports,Activision,0.21,0.06,0.0,0.01,0.28,58.0,22.0,8.0,4.0,Black Ops Entertainment,T,Video Games
Yu-Gi-Oh! Double Pack,GBA,2006,Role-Playing,Konami Digital Entertainment,0.2,0.08,0.0,0.01,0.28,,,,,,,Video Games
X-Men: Reign of Apocalypse,GBA,2001,Action,Activision,0.2,0.08,0.0,0.01,0.28,61.0,10.0,,,Digital Eclipse,E,Video Games
R: Racing Evolution,PS2,2003,Racing,Namco Bandai Games,0.14,0.11,0.0,0.04,0.28,66.0,35.0,6.2,5.0,Namco,T,Video Games
Netsu Chu! Pro Yakyuu 2003,PS2,2003,Sports,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
Jewel Quest Mysteries: Curse of the Emerald Tear,DS,2010,Puzzle,Avanquest,0.0,0.25,0.0,0.04,0.28,,,,,,,Video Games
The Golden Compass,PS3,2007,Action,Sega,0.14,0.1,0.0,0.05,0.28,40.0,17.0,4.8,16.0,Shiny Entertainment,E10+,Video Games
ATV Quad Power Racing 2,GC,2003,Racing,Acclaim Entertainment,0.22,0.06,0.0,0.01,0.28,70.0,18.0,9.0,4.0,Climax Group,E,Video Games
Digimon Adventure: Anode Tamer,WS,1999,Role-Playing,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
Hatsune Miku: Project Diva f,PS3,2013,Misc,Sega,0.08,0.0,0.19,0.02,0.28,73.0,10.0,8.4,108.0,Sega,T,Video Games
Fantastic 4: Flame On,GBA,2005,Action,Activision,0.2,0.08,0.0,0.01,0.28,,,,,,,Video Games
Divinity: Original Sin,PS4,2015,Role-Playing,Focus Home Interactive,0.1,0.12,0.02,0.04,0.28,,,,,,,Video Games
Marvel Nemesis: Rise of the Imperfects,XB,2005,Fighting,Electronic Arts,0.21,0.06,0.0,0.01,0.28,58.0,34.0,7.5,20.0,"EA Canada, Nihilistic",T,Video Games
The King of Fighters '95,SAT,1995,Fighting,SNK Playmore,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
F/A-18F Super Hornet,GBA,2004,Simulation,Majesco Entertainment,0.2,0.08,0.0,0.01,0.28,,,,,,,Video Games
Final Fantasy VI Advance,GBA,2006,Role-Playing,Nintendo,0.0,0.0,0.28,0.01,0.28,92.0,25.0,8.4,190.0,TOSE,E10+,Video Games
LEGO The Lord of the Rings,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.09,0.13,0.0,0.06,0.28,54.0,8.0,5.6,35.0,TT Games,E10+,Video Games
Polaris,2600,1982,Action,Tigervision,0.26,0.02,0.0,0.0,0.28,,,,,,,Video Games
All Star Cheer Squad,DS,2008,Sports,THQ,0.26,0.0,0.0,0.02,0.28,,,,,Gorilla Games,E,Video Games
Viewtiful Joe,PS2,2004,Action,Capcom,0.14,0.11,0.0,0.04,0.28,90.0,34.0,8.5,35.0,Clover Studio,T,Video Games
Triple Play 2000,N64,1999,Sports,Electronic Arts,0.27,0.01,0.0,0.0,0.28,,,,,,,Video Games
DeathSmiles,X360,2009,Shooter,Rising Star Games,0.15,0.06,0.05,0.02,0.28,76.0,29.0,8.4,47.0,Cave,T,Video Games
Baby Pals,DS,2007,Simulation,THQ,0.26,0.01,0.0,0.02,0.28,,,,,Brain Toys,E,Video Games
Fable: The Journey,X360,2012,Role-Playing,Microsoft Game Studios,0.18,0.08,0.0,0.02,0.28,61.0,70.0,4.8,80.0,Lionhead Studios,T,Video Games
Bratz Ponyz,DS,2007,Adventure,Game Factory,0.26,0.0,0.0,0.02,0.28,,,,,Neko Entertainment,E,Video Games
Arcade Hits: Frisky Tom,PS,2002,Action,Hamster Corporation,0.16,0.11,0.0,0.02,0.28,,,,,,,Video Games
Junior Brain Trainer 2,DS,2010,Misc,GSP,0.04,0.2,0.0,0.03,0.28,,,,,Sanuk Games,E,Video Games
Bladestorm: The Hundred Years' War,PS3,2007,Action,Tecmo Koei,0.1,0.03,0.14,0.02,0.28,58.0,23.0,7.9,28.0,Omega Force,T,Video Games
SAW,X360,2009,Action,Konami Digital Entertainment,0.13,0.12,0.0,0.03,0.28,59.0,39.0,7.4,50.0,Zombie Studios,M,Video Games
Chromehounds,X360,2006,Simulation,Sega,0.24,0.0,0.01,0.02,0.28,71.0,60.0,7.0,72.0,From Software,T,Video Games
Harry Potter and the Sorcerer's Stone,PS2,2003,Action,Electronic Arts,0.14,0.11,0.0,0.04,0.28,56.0,14.0,7.6,21.0,Warthog,E,Video Games
Kung Fu Chaos,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.28,68.0,41.0,8.5,27.0,Just Add Monsters,T,Video Games
Mega Man: Dr. Wily's Revenge,GB,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
Reel Fishing: Angler's Dream,Wii,2009,Sports,Zushi Games,0.25,0.01,0.0,0.02,0.28,,,7.5,4.0,Sims,E,Video Games
Shrek the Third,Wii,2007,Action,Activision,0.25,0.01,0.0,0.02,0.28,57.0,28.0,6.7,7.0,Amaze Entertainment,E10+,Video Games
Godzilla: Domination!,GBA,2002,Fighting,Atari,0.2,0.07,0.0,0.01,0.28,,,,,,,Video Games
Famista '92,NES,1991,Sports,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
Tales of the World: Radiant Mythology 3,PSP,2011,Role-Playing,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S,PS2,2002,Misc,Sammy Corporation,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
Jackass the Game,PS2,2007,Action,Empire Interactive,0.14,0.11,0.0,0.04,0.28,58.0,24.0,6.6,14.0,Sidhe Interactive,M,Video Games
Mega Man II,GB,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
Pirates of the Caribbean: Dead Man's Chest,PSP,2006,Adventure,Disney Interactive Studios,0.25,0.0,0.0,0.02,0.28,52.0,34.0,8.0,17.0,Griptonite Games,T,Video Games
Lord of Darkness,SNES,1991,Action,Tecmo Koei,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
Hannah Montana: Spotlight World Tour,PS2,2008,Action,Disney Interactive Studios,0.12,0.02,0.0,0.14,0.28,,,,,Avalanche Software,E,Video Games
Rocket Power: Beach Bandits,GBA,2002,Platform,THQ,0.2,0.07,0.0,0.01,0.28,,,,,,,Video Games
Carol Vorderman's Sudoku,PS2,2006,Puzzle,Xplosiv,0.0,0.23,0.0,0.05,0.28,75.0,4.0,,,Atomic Planet Entertainment,E,Video Games
Operation Flashpoint: Red River,X360,2011,Shooter,Codemasters,0.1,0.14,0.01,0.03,0.28,69.0,64.0,6.1,29.0,Codemasters,M,Video Games
Transformers: Dark of the Moon,X360,2011,Action,Activision,0.13,0.12,0.0,0.03,0.28,59.0,53.0,6.7,30.0,High Moon Studios,T,Video Games
MX SuperFly featuring Ricky Carmichael,PS2,2002,Racing,THQ,0.14,0.11,0.0,0.04,0.28,,,,,,,Video Games
Surf's Up,DS,2007,Sports,Ubisoft,0.26,0.0,0.0,0.02,0.28,56.0,5.0,7.0,4.0,Ubisoft Quebec,E,Video Games
Assassin's Creed II: Discovery,DS,2009,Action,Ubisoft,0.15,0.11,0.0,0.03,0.28,69.0,20.0,7.3,22.0,Griptonite Games,T,Video Games
Syphon Filter: Dark Mirror,PS2,2007,Shooter,Sony Computer Entertainment,0.14,0.11,0.0,0.04,0.28,70.0,24.0,7.8,12.0,Sony Bend,T,Video Games
Conflict: Desert Storm II - Back to Bagdhad,XB,2003,Shooter,SCi,0.21,0.06,0.0,0.01,0.28,,,,,,,Video Games
Mission: Impossible - Operation Surma,PS2,2003,Platform,Atari,0.14,0.11,0.0,0.04,0.28,64.0,30.0,7.8,10.0,Paradigm Entertainment,T,Video Games
Sesame Street: Elmo's A-to-Zoo Adventure,DS,2010,Misc,Warner Bros. Interactive Entertainment,0.26,0.0,0.0,0.02,0.28,,,,,,,Video Games
MLB 07: The Show,PSP,2007,Sports,Sony Computer Entertainment,0.26,0.0,0.0,0.02,0.28,82.0,12.0,7.2,10.0,SCEA San Diego Studios,E,Video Games
Kung Zhu,DS,2010,Action,Activision,0.26,0.0,0.0,0.02,0.28,,,,,,,Video Games
Pitfall: The Mayan Adventure,GBA,2001,Platform,Interplay,0.2,0.07,0.0,0.01,0.28,58.0,10.0,,,Pipe Dream Interactive,E,Video Games
Driver: Parallel Lines,PS2,2006,Racing,Atari,0.12,0.1,0.03,0.03,0.28,69.0,41.0,6.9,74.0,Reflections Interactive,M,Video Games
Monster Hunter Stories,3DS,2016,Action,Capcom,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
Ben 10 Ultimate Alien: Cosmic Destruction,Wii,2010,Platform,D3Publisher,0.17,0.09,0.0,0.02,0.28,,,,,Papaya Studios,E10+,Video Games
The Urbz: Sims In the City (US weekly sales),DS,2004,Simulation,Electronic Arts,0.26,0.0,0.0,0.02,0.28,,,,,,,Video Games
Mega Man ZX,DS,2006,Platform,Capcom,0.16,0.0,0.1,0.02,0.28,76.0,37.0,8.3,32.0,Inti Creates,E,Video Games
Backyard Wrestling 2: There Goes the Neighborhood,PS2,2004,Fighting,Eidos Interactive,0.14,0.11,0.0,0.04,0.28,46.0,23.0,4.7,10.0,Paradox Development,M,Video Games
Disney's Treasure Planet,GBA,2002,Action,Ubisoft,0.2,0.07,0.0,0.01,0.28,68.0,6.0,,,Disney Interactive,E,Video Games
Guitar Hero: Van Halen,Wii,2009,Misc,Activision,0.13,0.12,0.0,0.03,0.28,50.0,12.0,5.2,6.0,Neversoft Entertainment,T,Video Games
Dead or Alive,PS,1998,Fighting,Sony Computer Entertainment,0.09,0.06,0.1,0.02,0.28,84.0,10.0,8.6,18.0,Team Ninja,T,Video Games
Dead to Rights: Retribution,PS3,2010,Shooter,Namco Bandai Games,0.1,0.12,0.02,0.05,0.28,60.0,44.0,5.9,27.0,Volatile Games,M,Video Games
Wild ARMs 5,PS2,2006,Role-Playing,505 Games,0.14,0.11,0.0,0.04,0.28,71.0,26.0,7.5,22.0,Media Vision,T,Video Games
Payday 2,PS4,2015,Shooter,505 Games,0.1,0.14,0.0,0.05,0.28,,,,,,,Video Games
NFL Blitz 20-02,PS2,2002,Sports,Midway Games,0.14,0.11,0.0,0.04,0.28,76.0,22.0,8.9,15.0,Midway,E,Video Games
Mega Man 7,SNES,1995,Platform,Laguna,0.03,0.01,0.23,0.01,0.28,,,,,,,Video Games
El Shaddai: Ascension of the Metatron,PS3,2011,Action,Ignition Entertainment,0.11,0.06,0.08,0.03,0.28,78.0,46.0,7.5,40.0,Ignition Entertainment,T,Video Games
Tony Hawk: Shred,PS3,2010,Sports,Activision,0.18,0.06,0.0,0.04,0.28,56.0,5.0,6.7,6.0,Robomodo,E,Video Games
Disney Channel: All Star Party,Wii,2010,Misc,Disney Interactive Studios,0.18,0.08,0.0,0.02,0.28,,,,,Disney Interactive Studios,E,Video Games
Shrek: Ogres & Dronkeys,DS,2007,Simulation,Activision,0.26,0.0,0.0,0.02,0.28,,,,,,,Video Games
NCAA March Madness 2005,XB,2004,Sports,Electronic Arts,0.21,0.06,0.0,0.01,0.28,80.0,18.0,7.8,4.0,EA Canada,E,Video Games
NBA In The Zone,PS,1995,Sports,Konami Digital Entertainment,0.16,0.11,0.0,0.02,0.28,,,,,,,Video Games
Alien: Isolation,X360,2014,Shooter,Sega,0.15,0.1,0.0,0.02,0.28,,,8.2,113.0,Creative Assembly,M,Video Games
Batman: The Brave and the Bold the Videogame,Wii,2010,Action,Warner Bros. Interactive Entertainment,0.2,0.05,0.0,0.02,0.28,,,,,,,Video Games
Corvette,GBA,2003,Racing,TDK Mediactive,0.2,0.07,0.0,0.01,0.28,,,,,Visual Impact,E,Video Games
Kenka Bancho: Badass Rumble,PSP,2008,Action,Spike,0.06,0.0,0.2,0.01,0.28,70.0,21.0,7.5,6.0,Bullets,T,Video Games
Moshi Monsters: Moshlings Theme Park,3DS,2012,Misc,Activision,0.13,0.13,0.0,0.03,0.28,,,,,Black Lantern Studios,E,Video Games
Cabela's Big Game Hunter 2012,X360,2011,Sports,Activision,0.24,0.02,0.0,0.02,0.28,,,,,Activision,T,Video Games
F1 ROC: Race of Champions,SNES,1992,Sports,Ocean,0.0,0.0,0.28,0.0,0.28,,,,,,,Video Games
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,2004,Action,THQ,0.22,0.06,0.0,0.01,0.28,65.0,8.0,,,THQ,E,Video Games
